review,sentiment
This product is amazing,positive
Very bad quality,negative
I love this service,positive
Worst experience ever,negative
Excellent performance,positive
Total waste of money,negative
Battery life is very good,positive
The screen quality is poor,negative
Fast delivery and nice packaging,positive
Customer support was terrible,negative
Sound quality is excellent,positive
The product stopped working in a week,negative
Worth the price,positive
Not satisfied with this purchase,negative
Highly recommended product,positive
Bad build quality,negative
Smooth performance and good camera,positive
Heating issue after few minutes,negative
